Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
7.64,5.56,83.97,80.23,80.23
7.76,0.1,83.97,80.23,80.08
7.51,1.52,83.97,80.08,80.08
7.73,0.27,83.97,80.08,80.08
7.52,1.35,83.97,80.08,79.94
7.52,1.34,84.12,79.94,79.94
7.48,5.41,84.12,79.94,79.8
7.49,1.46,83.97,79.8,79.66
6.75,1.35,84.12,79.66,79.66
7.47,1.41,84.12,79.66,79.52
7.48,1.42,84.12,79.52,79.52
7.5,1.15,84.26,79.52,79.37
7.69,0.32,84.26,79.37,79.37
7.53,1.12,84.26,79.37,79.23
7.48,1.46,84.41,79.23,79.23
7.49,1.36,84.41,79.23,79.09
7.46,1.44,84.26,79.09,79.09
7.48,1.37,84.26,79.09,78.95
7.5,1.12,84.55,78.95,78.95
6.87,1.39,84.55,78.95,78.8
7.5,1.15,84.84,78.8,78.8
7.46,1.37,84.41,78.8,78.66
7.46,1.37,84.7,78.66,78.66
7.48,1.17,84.7,78.66,78.52
7.49,1.22,84.55,78.52,78.52
7.57,0.73,84.7,78.52,78.38
7.59,0.74,84.84,78.38,78.38
7.59,0.72,84.84,78.38,78.24
7.55,0.88,84.7,78.24,78.24
7.59,0.77,84.99,78.24,78.09
7.57,0.87,84.84,78.09,77.95
7.58,6.34,84.84,77.95,77.95
7.42,1.3,84.84,77.95,77.81
7.55,0.74,85.13,77.81,77.81
7.56,2.16,85.13,77.81,77.67
7.69,0.38,84.99,77.67,77.67
7.53,0.97,85.13,77.67,77.52
7.44,1.45,85.28,77.52,77.52
7.32,1.44,85.28,77.52,77.38
7.46,1.43,85.42,77.38,77.38
7.46,1.39,85.28,77.38,77.24
7.34,1.22,85.28,77.24,77.24
7.45,1.24,85.28,77.24,77.1
7.45,1.37,85.28,77.1,77.1
7.68,0.1,85.28,77.1,76.96
7.51,5.87,85.42,76.96,76.96
7.45,1.47,85.28,76.96,76.81
7.43,1.48,85.57,76.81,76.81
7.47,1.2,85.42,76.81,76.67
7.57,1.39,85.57,76.67,76.67
7.56,0.69,85.57,76.67,76.53
7.43,1.52,85.57,76.53,76.53
6.86,1.36,85.57,76.53,76.39
7.17,1.44,85.86,76.39,76.39
7.43,1.2,85.57,76.39,76.24
7.46,3.17,85.57,76.24,76.24
7.44,1.23,85.57,76.24,76.1
7.43,1.38,85.57,76.1,76.1
7.43,1.38,85.71,76.1,75.39
7.43,4.07,85.71,75.39,75.25
7.57,0.71,85.86,75.25,75.25
7.44,1.26,85.86,75.25,75.11
7.43,1.43,85.86,75.11,75.11
7.02,1.43,85.86,75.11,75.11
7.41,1.25,85.86,75.11,74.96
7.42,1.39,86,74.96,74.96
7.43,1.37,85.86,74.96,74.82
7.44,1.11,86,74.82,74.82
7.45,1.21,85.86,74.82,74.68
7.42,4.85,86,74.68,74.54
7.36,1.17,86,74.54,74.54
7.43,1.34,85.86,74.54,74.11
7.42,1.34,85.86,74.11,74.11
7.42,1.3,85.86,74.11,74.11
7.5,0.91,86,74.11,73.97
7.5,0.97,86.15,73.97,73.97
7.51,0.85,86.15,73.97,73.83
7.42,1.39,86.15,73.83,73.83
6.92,1.34,86.15,73.83,73.68
7.41,1.32,86.15,73.68,73.54
7.42,5.2,86.29,73.54,73.54
7.42,1.32,86.29,73.54,73.4
7.41,2.95,86.15,73.4,73.4
7.43,1.27,86.15,73.4,73.4
7.43,1.32,86.29,73.4,73.26
7.27,1.28,86.29,73.26,73.11
7.42,1.11,86.15,73.11,73.11
7.44,1.29,86.29,73.11,72.97
7.5,0.91,86.58,72.97,72.97
7.52,0.75,86.29,72.97,72.97
7.52,0.83,86.44,72.97,71.98
7.5,0.96,86.44,71.98,71.83
7.51,0.98,86.87,71.83,71.69
7.28,2.27,86.58,71.69,71.69
7.64,0.12,86.73,71.69,71.55
7.46,2.7,86.73,71.55,71.55
7.41,1.42,86.73,71.55,71.41
7.41,1.34,86.87,71.41,71.41
7.43,1.28,86.87,71.41,71.41
7.4,3.22,86.73,71.41,71.27
7.39,1.28,86.87,71.27,71.27
7.39,1.38,86.87,71.27,71.12
7.41,1.36,86.73,71.12,70.98
7.41,1.14,86.58,70.98,70.98
7.4,2.18,86.58,70.98,70.84
7.43,2.48,86.73,70.84,70.84
7.39,1.35,86.87,70.84,70.84
7.36,1.3,86.73,70.84,70.7
7.49,6.61,86.87,70.7,70.55
7.44,0.84,86.87,70.55,70.55
7.49,0.79,86.73,70.55,70.41
7.51,0.88,87.02,70.41,70.41
7.49,0.79,87.02,70.41,70.41
6.97,0.97,87.16,70.41,70.27
7.51,0.83,87.02,70.27,70.27
7.5,0.82,87.02,70.27,70.13
7.49,0.88,86.87,70.13,70.13
7.54,0.83,87.02,70.13,69.99
7.52,0.89,87.16,69.99,69.99
7.49,2.1,87.16,69.99,69.84
7.5,0.75,87.16,69.84,69.84
7.53,0.94,87.16,69.84,69.7
7.48,0.95,87.45,69.7,69.7
6.93,0.6,87.31,69.7,69.56
7.53,3.91,87.45,69.56,69.56
7.5,0.82,87.6,69.56,69.42
7.46,0.71,87.45,69.42,69.42
7.49,0.8,87.6,69.42,68.7
7.52,0.9,87.6,68.7,68.7
7.53,0.77,87.45,68.7,68.28
7.53,2.02,87.6,68.28,68.28
7.51,0.7,87.6,68.28,67.85
7.5,0.88,87.74,67.85,67.85
7.45,0.9,87.74,67.85,67.71
7.52,0.78,87.45,67.71,67.71
7.45,0.91,87.45,67.71,67.57
7.55,0.94,87.6,67.57,67.57
7.49,1,87.74,67.57,67.42
7.4,0.85,87.74,67.42,67.42
7.47,0.97,87.74,67.42,67.28
7.48,1.09,87.89,67.28,67.28
7.38,5.93,87.74,67.28,67.14
7.11,1.35,87.6,67.14,67.14
7.14,1.28,87.74,67.14,67
7.37,1.37,87.74,67,67
7.38,1.41,87.74,67,67
7.6,0.73,87.6,67,66.86
7.38,1.43,87.45,66.86,66.86
7.07,1.4,87.45,66.86,66.71
7.62,0.1,87.74,66.71,66.57
7.61,0.11,87.74,66.57,66.57
7.42,1.36,87.89,66.57,65.86
7.43,1.11,87.74,65.86,65.86
7.38,1.39,87.89,65.86,65.72
7.39,3.52,87.89,65.72,65.72
7.39,1.37,87.89,65.72,65.58
7.38,1.32,88.03,65.58,65.58
7.38,1.36,87.89,65.58,65.43
7.4,1.21,88.18,65.43,65.43
7.13,1.32,88.03,65.43,65.29
7.38,1.26,88.18,65.29,65.29
7.28,1.71,88.18,65.29,65.29
7.37,0.97,88.32,65.29,64.86
7.37,4.18,88.18,64.86,64.86
7.27,1.34,88.32,64.86,64.72
7.4,1.25,88.47,64.72,64.72
7.38,1.33,88.18,64.72,64.72
7.38,3.26,88.47,64.72,64.58
7.37,1.33,88.47,64.58,64.58
7.37,1.33,88.47,64.58,64.44
7.29,1.29,88.61,64.44,64.44
7.24,0.11,88.47,64.44,64.44
7.38,1.32,88.61,64.44,64.3
7.6,0.08,88.61,64.3,64.3
7.43,1.1,88.61,64.3,64.3
7.38,1.32,88.76,64.3,64.15
7.14,0.1,88.9,64.15,64.15
7.37,5.63,88.9,64.15,64.01
7.36,1.06,88.9,64.01,64.01
7.37,1.33,88.9,64.01,64.01
7.37,1.32,88.76,64.01,63.87
7.41,1.09,89.05,63.87,63.87
7.37,1.32,88.9,63.87,63.44
7.36,2.83,89.19,63.44,63.44
7.37,1.29,88.9,63.44,63.3
7.37,1.32,88.9,63.3,63.3
7.39,1.08,88.9,63.3,63.16
7.38,3.2,89.05,63.16,63.16
7.29,1.38,89.19,63.16,63.02
6.89,1.22,89.05,63.02,63.02
7.38,1.29,89.05,63.02,62.87
7.37,1.32,88.9,62.87,62.87
7.34,1.31,89.05,62.87,62.87
7.35,1.28,88.9,62.87,61.59
6.6,1.32,88.9,61.59,61.59
6.97,1.29,88.9,61.59,61.45
7.36,1.28,89.05,61.45,61.45
7.34,1.13,89.05,61.45,61.31
7.4,1.25,89.19,61.31,61.31
7.37,1.05,89.19,61.31,61.17
6.94,1.3,89.05,61.17,61.17
7.35,0.59,89.05,61.17,61.17
7,1.25,89.05,61.17,61.02
7.35,1.31,89.05,61.02,61.02
7.07,1.03,89.05,61.02,60.88
7.1,4.09,89.05,60.88,60.88
6.77,0.96,89.05,60.88,60.74
7.43,0.86,89.05,60.74,60.74
7.44,0.9,89.48,60.74,60.6
7.42,0.76,89.19,60.6,60.6
7.41,0.78,89.19,60.6,60.17
7.45,2.86,89.19,60.17,60.17
7.41,0.96,89.48,60.17,60.03
7.29,0.97,89.34,60.03,60.03
7.42,0.78,89.34,60.03,59.6
7.44,0.88,89.19,59.6,59.6
7.09,1.15,89.48,59.6,59.46
7.45,0.72,89.48,59.46,59.46
7.45,0.9,89.34,59.46,59.32
7.42,0.85,89.48,59.32,59.32
7.44,1.15,89.34,59.32,59.17
7.45,0.76,89.48,59.17,59.17
7.46,0.86,89.19,59.17,59.03
7.46,5.38,89.34,59.03,59.03
7.46,0.68,89.48,59.03,58.89
7.42,0.98,89.48,58.89,58.89
7.45,0.65,89.34,58.89,58.75
7.28,2.97,89.48,58.75,58.75
7.42,0.92,89.63,58.75,58.61
7.45,0.7,89.48,58.61,58.61
7.41,0.92,89.48,58.61,58.32
7.38,0.68,89.77,58.32,58.32
7.44,1.05,89.92,58.32,58.18
7.46,0.86,89.92,58.18,58.18
7.42,0.74,89.92,58.18,57.61
7.43,1.01,89.77,57.61,57.61
7.45,0.96,89.92,57.61,57.47
7.42,0.74,89.92,57.47,57.32
7.42,0.71,89.92,57.32,57.18
6.97,0.92,89.92,57.18,57.18
7.25,0.99,89.77,57.18,57.04
7.42,0.96,89.92,57.04,57.04
7.38,0.79,89.92,57.04,56.9
7.45,1.76,90.06,56.9,56.9
7.46,0.68,89.77,56.9,56.76
7.43,0.99,90.06,56.76,56.76
7.46,0.87,90.21,56.76,56.61
7.43,0.71,90.21,56.61,56.61
7.42,5.48,89.92,56.61,56.47
7.36,1.14,90.06,56.47,56.33
7.05,2.84,90.06,56.33,55.9
7.3,1.4,90.21,55.9,55.9
7.23,1.37,90.06,55.9,55.76
7.17,1.21,90.21,55.76,55.76
7.31,1.25,90.35,55.76,55.62
6.82,1.02,90.21,55.62,55.48
7.54,0.08,90.06,55.48,55.48
7.37,3.17,90.21,55.48,55.48
7.31,1.12,90.06,55.48,55.33
7,1.19,90.35,55.33,55.19
7.34,1.24,90.35,55.19,55.19
6.65,1.15,90.06,55.19,55.05
6.79,1.21,90.5,55.05,55.05
7.32,1.3,90.35,55.05,54.91
7.27,1.12,90.35,54.91,54.91
7.52,0.12,90.21,54.91,54.76
6.95,1.19,90.35,54.76,54.76
7.33,1.14,90.21,54.76,54.62
6.73,1.33,90.35,54.62,54.62
7.43,0.86,90.5,54.62,54.62
7.32,1.17,90.5,54.62,54.48
7.31,1.14,90.35,54.48,54.48
7.34,5.17,90.5,54.48,54.48
7.32,4.5,90.5,54.48,54.34
7.33,1.32,90.65,54.34,54.2
7.36,1.19,90.79,54.2,54.05
7.33,1.28,90.65,54.05,54.05
7.37,1.1,90.65,54.05,53.91
6.79,1.3,90.65,53.91,53.77
7.32,1.32,90.79,53.77,53.77
7.04,1.21,90.5,53.77,53.77
7.33,6.16,90.79,53.77,53.63
7,0.94,90.94,53.63,53.63
7.4,0.97,90.94,53.63,53.63
7.32,1.34,90.65,53.63,53.48
7.33,1.35,90.79,53.48,53.48
7.36,4.48,90.65,53.48,53.48
7.32,1.31,90.65,53.48,53.34
7.35,0.81,90.79,53.34,53.34
7.35,3.72,91.08,53.34,53.06
7.31,1.3,90.79,53.06,52.06
7.24,1.34,90.94,52.06,51.78
7.37,5.02,90.65,51.78,51.21
7.35,1.16,90.79,51.21,51.21
7.33,1.07,90.79,51.21,51.21
7.33,0.95,91.08,51.21,51.07
7.32,1.28,90.94,51.07,51.07
7.36,1.2,91.08,51.07,50.78
7.35,1.2,91.08,50.78,50.78
6.9,0.96,90.94,50.78,50.64
7.32,1.26,90.94,50.64,50.5
6.86,1.23,90.79,50.5,50.5
7.37,1.19,90.94,50.5,50.35
6.53,1.26,90.94,50.35,50.35
7.33,1.24,91.08,50.35,50.35
7.33,1.29,90.94,50.35,50.21
7.35,1.3,91.23,50.21,50.21
7.33,1.26,91.23,50.21,49.5
7.54,0.08,90.94,49.5,49.5
7.55,0.15,91.08,49.5,49.5
7.53,0.2,91.23,49.5,47.65
6.74,1.3,91.23,47.65,47.65
7.31,1.13,91.08,47.65,47.65
7.36,1.08,91.23,47.65,47.51
7.36,1.09,90.94,47.51,47.51
7.29,1.21,91.37,47.51,47.23
7.37,2.84,91.08,47.23,47.23
7.35,1.32,91.23,47.23,47.23
7.32,1.23,91.08,47.23,47.08
7.39,3.22,91.37,47.08,47.08
7.36,1.25,91.23,47.08,47.08
7.31,1.3,91.23,47.08,46.37
7.32,1.33,91.37,46.37,46.37
7.54,5.11,91.37,46.37,46.37
7.39,0.98,91.37,46.37,46.23
7.33,1.26,91.66,46.23,46.23
7.33,1.3,91.37,46.23,46.23
7.36,1.14,91.52,46.23,45.23
7.36,1.12,91.66,45.23,45.23
7.33,1.6,91.52,45.23,45.23
7.34,5.4,91.52,45.23,45.09
7.16,1.18,91.66,45.09,45.09
7.53,0.11,91.66,45.09,45.09
6.91,0.1,91.37,45.09,45.09
6.71,1.3,91.52,45.09,44.95
7.33,1.57,91.66,44.95,44.95
7.36,1.59,91.52,44.95,44.81
6.89,0.1,91.52,44.81,44.81
7.39,0.97,91.52,44.81,44.81
7.34,0.89,91.66,44.81,44.81
7.13,1.68,91.66,44.81,44.66
7.21,1.12,91.66,44.66,44.66
7.35,1.05,91.66,44.66,44.66
7.38,0.99,91.66,44.66,44.66
7.53,3.66,91.66,44.66,44.52
7.55,6.15,91.81,44.52,44.52
7.48,0.12,91.81,44.52,44.38
6.76,1.34,91.81,44.38,44.38
7.38,1.12,91.66,44.38,44.38
7.56,0.1,91.81,44.38,44.1
7.54,0.1,91.81,44.1,44.1
7.32,0.08,91.81,44.1,44.1
7.53,0.12,91.81,44.1,43.95
7.34,1.36,91.81,43.95,43.95
7.34,5.51,91.81,43.95,43.95
7.32,1.32,91.66,43.95,43.81
7.34,1.27,91.66,43.81,43.81
6.99,3.13,91.81,43.81,43.67
7.33,1.28,91.81,43.67,43.67
7.07,0.84,91.81,43.67,43.67
7.54,0.05,91.81,43.67,42.67
7.34,1.39,91.66,42.67,42.53
6.38,1.24,91.81,42.53,42.1
7.38,1.07,91.95,42.1,42.1
7.32,1.35,91.81,42.1,42.1
7.29,1.34,91.81,42.1,42.1
7.37,1.55,91.95,42.1,41.96
7.32,5.52,92.1,41.96,41.96
7.51,0.14,91.95,41.96,41.96
7.53,0.12,91.81,41.96,41.82
7.35,5.37,92.1,41.82,41.82
7.49,0.1,92.24,41.82,41.82
7.38,1.13,92.1,41.82,41.82
7.35,0.9,91.95,41.82,41.68
7.35,1.19,92.1,41.68,41.68
7.32,1.29,92.1,41.68,41.68
7.02,1.17,92.1,41.68,41.54
6.96,2.8,91.95,41.54,41.54
7.54,0.1,92.24,41.54,41.54
6.96,1.05,92.1,41.54,41.39
7.37,2.37,92.1,41.39,41.39
7.36,1.17,92.1,41.39,41.39
7.37,1.04,92.24,41.39,41.25
7.42,0.86,92.1,41.25,41.25
7.5,0.18,92.24,41.25,41.25
7.09,0.97,92.39,41.25,41.11
7.53,0.09,92.24,41.11,41.11
7.32,1.3,92.24,41.11,41.11
7.33,1.55,92.39,41.11,40.97
7.35,1.08,92.1,40.97,40.82
7.38,1.02,92.24,40.82,40.82
7.36,1.14,92.1,40.82,40.68
7.42,0.95,92.24,40.68,40.68
7.4,0.83,92.24,40.68,40.68
7.31,1.32,92.1,40.68,40.54
7.33,1.34,92.1,40.54,40.54
7.3,1.32,92.39,40.54,40.54
7.32,1.26,92.24,40.54,40.11
7.53,1.93,92.24,40.11,40.11
7.38,1.03,92.39,40.11,40.11
7.19,0.12,92.39,40.11,39.97
7.55,0.1,92.39,39.97,39.97
7.33,2.22,92.24,39.97,39.97
6.45,1.25,92.39,39.97,39.83
6.67,1.3,92.39,39.83,39.83
7.32,3,92.39,39.83,39.83
6.7,1.25,92.24,39.83,39.69
7.32,1.31,92.53,39.69,39.54
7.36,0.88,92.68,39.54,39.4
7.38,1.01,92.53,39.4,39.4
7.53,0.1,92.53,39.4,39.12
7.32,1.12,92.68,39.12,39.12
6.65,1.15,92.82,39.12,39.12
7.34,1.26,92.82,39.12,39.12
7.52,0.1,92.68,39.12,38.55
7.53,0.08,92.82,38.55,38.55
7.31,1.27,92.82,38.55,38.26
7.34,1.32,92.97,38.26,38.12
7.36,1.18,92.68,38.12,37.55
7.35,1.17,92.82,37.55,37.41
7.33,1.29,92.68,37.41,37.13
7.53,0.1,92.68,37.13,37.13
7.37,1.08,92.53,37.13,37.13
7.28,1.17,92.68,37.13,36.84
7.53,0.1,92.68,36.84,36.84
7.37,1.07,92.82,36.84,36.84
7.32,2.97,92.97,36.84,36.7
7.52,0.15,92.97,36.7,36.7
6.83,1.18,92.82,36.7,36.7
6.89,0.26,92.97,36.7,36.7
6.88,1.35,92.82,36.7,36.56
7.35,1.23,92.97,36.56,36.41
7.36,1.18,93.11,36.41,36.41
7.39,1.08,92.97,36.41,36.41
6.83,0.98,92.97,36.41,35.7
7.35,1.35,92.97,35.7,35.7
7.41,0.9,92.97,35.7,35.56
7.54,0.1,92.97,35.56,35.42
7.33,0.43,92.97,35.42,35.42
7.41,0.9,93.11,35.42,35.28
7.32,1.34,92.82,35.28,35.13
7.35,1.34,93.11,35.13,35.13
7.34,1.33,92.97,35.13,34.99
7.39,0.97,93.26,34.99,34.56
7.41,1.35,92.82,34.56,34.42
7.33,1.81,93.11,34.42,33.71
6.8,0.1,93.11,33.71,33.71
7.53,0.09,92.97,33.71,33.57
6.78,1.32,93.11,33.57,33.28
7.35,0.68,93.26,33.28,33.14
7.37,1.18,93.11,33.14,33.14
7.36,1.15,93.26,33.14,33
7.53,0.11,93.26,33,33
6.91,0.11,93.11,33,32.86
7.19,1.25,93.26,32.86,32.86
7.32,2.37,93.26,32.86,32.86
6.76,0.85,93.4,32.86,32.86
7.3,1.56,93.11,32.86,32.43
7.33,2.11,93.11,32.43,32.43
7.32,1.24,93.11,32.43,32.43
7.54,0.11,93.4,32.43,32.43
7.33,1.29,93.26,32.43,32.29
7.36,5.71,93.26,32.29,32.29
7.23,5.98,93.26,32.29,32.29
7.31,1.14,93.26,32.29,32.15
7.52,0.08,93.11,32.15,32
7.34,1.17,93.11,32,32
7.08,1.34,93.26,32,32
7.53,0.08,93.26,32,31.86
7.42,0.85,93.26,31.86,31.86
