Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
8.42,0.02,77.45,0,100
8.42,-0.01,76.29,100,100
8.38,0.08,76.29,100,100
8.39,0.12,75.56,100,100
8.37,0.11,76.43,100,100
8.39,0.09,76.29,100,100
8.39,0.1,76.29,100,99.86
8.39,0.1,76.29,99.86,99.86
8.39,0.1,76.87,99.86,99.86
8.38,0.18,76.58,99.86,99.86
8.39,0.1,76.43,99.86,99.86
8.38,0.34,76.29,99.86,99.86
8.38,0.1,76.72,99.86,99.86
8.39,0.1,77.01,99.86,99.86
8.38,0.1,77.01,99.86,99.86
8.37,0.1,77.3,99.86,99.86
8.36,0.1,77.16,99.86,99.86
8.38,0.29,77.16,99.86,99.86
8.38,0.1,77.16,99.86,99.86
8.38,0.1,77.16,99.86,99.86
8.36,0.13,77.16,99.86,99.86
8.39,0.17,77.45,99.86,99.86
8.36,0.08,77.3,99.86,99.86
8.38,0.15,77.3,99.86,99.86
8.37,0.09,77.16,99.86,99.86
8.36,0.1,77.3,99.86,99.86
8.36,0.11,77.3,99.86,99.86
8.38,0.09,77.45,99.86,99.86
8.38,0.09,77.16,99.86,99.86
8.33,0.09,77.3,99.86,99.86
8.36,0.1,77.3,99.86,99.86
8.37,0.35,77.16,99.86,99.86
8.38,0.1,77.16,99.86,99.86
8.36,0.15,77.3,99.86,99.86
8.36,0.29,77.3,99.86,99.86
8.34,0.11,77.16,99.86,99.86
8.38,0.09,76.29,99.86,99.86
8.37,0.1,76.72,99.86,99.86
8.36,0.12,77.16,99.86,99.86
8.36,0.12,77.16,99.86,99.86
8.37,0.1,77.16,99.86,99.86
8.37,0.11,77.01,99.86,99.86
8.37,0.1,77.16,99.86,99.86
8.37,0.12,77.01,99.86,99.86
8.37,0.2,77.01,99.86,99.86
8.36,0.1,77.01,99.86,99.86
8.37,0.12,77.16,99.86,99.86
8.36,0.1,76.87,99.86,99.86
8.36,0.1,77.01,99.86,99.86
8.36,0.1,77.01,99.86,99.86
8.34,0.15,77.01,99.86,99.86
8.36,0.1,77.01,99.86,99.86
8.35,0.17,77.01,99.86,99.86
8.3,0.37,77.01,99.86,99.86
8.07,1.57,77.01,99.86,99.86
8.03,1.61,77.01,99.86,99.72
8.29,0.1,77.01,99.72,99.72
8.28,0.13,77.01,99.72,99.72
8,1.62,77.01,99.72,99.72
8.06,1.56,77.01,99.72,99.72
8.06,1.43,77.01,99.72,99.72
8.02,1.41,77.01,99.72,99.57
8.1,0.11,77.16,99.57,99.57
8.25,0.12,77.01,99.57,99.57
8.02,1.49,77.16,99.57,99.57
8.24,0.12,77.16,99.57,99.57
7.96,1.62,77.16,99.57,99.43
7.95,1.57,77.16,99.43,99.43
7.94,1.5,77.16,99.43,99.29
7.92,1.6,76.87,99.29,99.29
8.15,0.13,77.01,99.29,99
8.14,0.92,77.01,99,99
8.15,0.1,77.01,99,97.44
7.92,1.5,77.01,97.44,97.3
8.13,0.18,77.01,97.3,97.3
7.89,1.59,77.01,97.3,97.15
8.11,0.22,77.01,97.15,97.15
7.98,1.24,77.16,97.15,97.01
7.87,1.61,77.01,97.01,96.87
8.14,0.12,77.01,96.87,96.87
7.8,0.57,77.01,96.87,96.73
7.84,1.39,77.01,96.73,96.73
7.81,1.43,77.16,96.73,96.59
8.02,0.48,77.45,96.59,96.44
7.92,1.19,77.16,96.44,96.3
8.06,0.32,77.3,96.3,96.16
7.83,1.54,77.45,96.16,96.16
7.61,1.57,77.3,96.16,96.02
7.81,1.57,77.59,96.02,95.87
7.82,1.49,77.45,95.87,95.87
7.72,1.52,77.59,95.87,95.45
8.04,0.12,77.45,95.45,95.45
8,0.33,77.59,95.45,95.02
7.79,1.55,77.59,95.02,95.02
7.88,1.17,77.59,95.02,94.88
8.05,0.11,77.74,94.88,94.88
8.06,0.1,77.74,94.88,94.74
8.04,0.11,77.88,94.74,94.74
8.05,0.1,78.03,94.74,94.59
7.78,1.52,77.88,94.59,94.59
8.04,0.72,78.03,94.59,94.45
7.77,1.52,78.03,94.45,94.45
7.78,1.55,78.03,94.45,94.31
7.71,1.1,77.88,94.31,94.17
7.75,1.47,78.03,94.17,94.03
7.76,1.48,78.17,94.03,94.03
7.58,1.48,78.17,94.03,93.88
7.75,1.5,78.32,93.88,93.88
7.53,1.47,78.32,93.88,93.74
7.99,0.12,78.32,93.74,93.74
7.95,0.16,78.32,93.74,93.6
7.41,3.86,78.46,93.6,93.6
7.72,1.54,78.61,93.6,93.46
7.78,1.14,78.61,93.46,93.31
7.97,0.11,78.75,93.31,93.31
7.89,0.39,78.75,93.31,93.17
7.68,1.54,78.9,93.17,93.03
7.7,2.38,78.9,93.03,93.03
7.67,1.52,78.9,93.03,92.89
7.68,1.5,78.75,92.89,92.75
7.68,3.51,78.9,92.75,92.75
7.89,0.18,79.04,92.75,92.6
7.69,2.42,78.75,92.6,92.46
7.53,1.51,79.19,92.46,92.46
7.75,0.96,79.19,92.46,92.03
7.68,1.48,79.33,92.03,91.89
7.85,0.32,79.19,91.89,91.89
7.7,1.32,79.33,91.89,91.75
7.93,0.09,79.33,91.75,91.75
7.71,5.54,79.48,91.75,91.61
7.66,1.46,79.62,91.61,91.61
7.28,1.44,79.77,91.61,91.47
7.67,1.89,79.62,91.47,91.47
7.34,1.48,79.77,91.47,91.32
7.66,0.81,79.62,91.32,91.32
7.65,1.49,79.91,91.32,91.18
7.64,1.44,79.91,91.18,91.04
7.43,1.35,80.06,91.04,91.04
7.45,1.06,79.91,91.04,90.9
7.65,1.71,79.91,90.9,90.9
7.64,1.32,80.06,90.9,90.47
7.64,2.24,79.91,90.47,90.33
7.62,1.44,80.2,90.33,90.33
7.65,0.26,80.2,90.33,90.18
7.62,1.45,80.35,90.18,90.18
7.75,2.76,80.2,90.18,90.04
7.62,1.41,80.35,90.04,90.04
7.66,1.99,80.35,90.04,89.9
7.71,5.13,80.49,89.9,89.76
7.73,1.23,80.49,89.76,89.76
7.69,0.77,80.64,89.76,89.62
7.71,1,80.78,89.62,89.62
7.71,0.87,80.93,89.62,89.47
7.74,0.73,80.78,89.47,89.47
7.71,0.82,80.64,89.47,89.33
7.71,0.82,80.78,89.33,89.19
7.74,0.99,80.93,89.19,89.19
7.66,2.07,80.64,89.19,89.05
7.62,1.21,80.93,89.05,89.05
7.63,6.08,80.93,89.05,88.9
7.61,1.33,81.07,88.9,88.9
7.6,3.66,81.07,88.9,88.76
7.64,1.3,80.93,88.76,88.76
7.6,1.42,81.07,88.76,88.62
7.63,1.08,81.07,88.62,88.62
7.61,1.42,81.07,88.62,88.48
7.6,1.44,81.07,88.48,88.34
7.61,1.36,81.22,88.34,88.34
7.62,1.48,81.22,88.34,87.91
7.57,1.5,81.51,87.91,87.91
7.5,2.12,81.51,87.91,87.77
7.52,2.55,81.36,87.77,87.77
7.66,0.76,81.36,87.77,87.62
7.57,1.34,81.65,87.62,87.62
7.2,0.72,81.65,87.62,87.48
7.42,0.51,81.65,87.48,87.34
7.56,1.46,81.65,87.34,87.34
7.57,1.43,81.65,87.34,87.2
7.78,0.32,81.8,87.2,87.2
7.59,3.15,81.65,87.2,87.06
7.64,0.7,81.65,87.06,87.06
7.61,1.32,81.8,87.06,86.91
7.56,1.49,82.09,86.91,85.63
7.55,1.48,81.94,85.63,85.63
7.54,1.42,81.94,85.63,85.49
7.55,1.37,81.8,85.49,85.49
6.88,1.32,81.8,85.49,85.35
7.58,0.57,81.94,85.35,85.35
7.56,3.95,82.09,85.35,85.21
7.54,1.41,82.09,85.21,85.21
7.53,1.44,82.09,85.21,85.06
7.6,0.5,82.23,85.06,85.06
7.58,1.37,82.23,85.06,84.92
7.67,0.76,82.23,84.92,84.92
7.54,1.47,82.23,84.92,84.64
7.79,0.35,82.23,84.64,84.49
7.62,0.94,82.52,84.49,84.49
7.72,0.52,82.52,84.49,84.35
7.75,0.28,82.67,84.35,84.35
7.62,1.14,82.67,84.35,84.21
7.65,1.07,82.52,84.21,84.21
7.78,0.21,82.67,84.21,84.21
7.52,1.52,82.67,84.21,84.07
7.55,1.38,82.81,84.07,83.93
7.57,1.47,82.52,83.93,83.93
7.6,0.88,82.67,83.93,83.78
7.54,1.38,82.81,83.78,83.78
7.52,1.43,82.81,83.78,83.64
7.52,4.49,82.96,83.64,83.64
7.52,1.33,82.81,83.64,83.5
7.5,1.44,82.81,83.5,83.5
7.41,1.43,83.1,83.5,83.36
7.53,1.37,83.1,83.36,83.36
7.52,1.37,83.25,83.36,83.21
7.62,0.85,83.25,83.21,83.21
7.63,0.68,83.1,83.21,83.07
7.63,0.8,83.39,83.07,83.07
7.53,0.75,83.54,83.07,82.36
6.85,1.05,83.39,82.36,82.36
7.61,0.9,83.39,82.36,81.65
7.64,0.99,83.39,81.65,81.65
7.6,4.4,83.39,81.65,81.22
7.63,4.01,83.54,81.22,81.22
7.65,0.64,83.54,81.22,81.08
7.6,0.99,83.68,81.08,80.94
7.59,0.96,83.68,80.94,80.94
7.6,1,83.68,80.94,80.8
7.61,3.88,83.83,80.8,80.8
7.64,0.96,83.83,80.8,80.65
7.07,0.96,83.68,80.65,80.65
7.61,0.99,83.83,80.65,80.23
