Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%),InReq,wcount
7.89,1.21,92.53,100,100,0,0
7.79,1.55,92.97,100,100,0,0
7.93,1.56,92.1,100,100,0,0
8.05,0.09,92.24,100,100,0,0
8.06,0.13,92.24,100,100,0,0
7.89,1.05,92.82,100,100,0,0
7.77,1.57,92.24,100,99.86,0,0
7.77,1.55,92.1,99.86,99.86,0,0
8.02,0.1,92.24,99.86,99.86,0,0
8,0.28,91.37,99.86,99.86,0,0
7.78,1.59,91.95,99.86,99.86,0,0
7.75,1.56,91.81,99.86,99.86,0,0
7.75,1.36,91.37,99.86,99.86,0,0
8.01,0.1,92.39,99.86,99.72,0,0
7.99,0.13,91.66,99.72,99.72,0,0
7.75,1.56,91.52,99.72,99.72,0,0
7.78,1.39,92.24,99.72,99.72,0,0
7.91,1.46,92.1,99.72,99.72,0,0
7.95,0.1,91.37,99.72,99.72,0,0
8.02,0.08,91.52,99.72,99.72,1,5
8.03,0.1,91.08,99.72,99.72,1,6
8.02,0.1,91.66,99.72,99.72,1,6
8.04,0.17,91.37,99.72,99.72,1,6
8.03,0.12,91.37,99.72,99.72,1,6
8.04,0.09,91.52,99.72,99.72,1,6
8.04,0.12,91.52,99.72,99.72,1,6
8.04,0.12,91.52,99.72,99.57,1,6
8.04,0.1,91.66,99.57,99.57,1,6
8.04,0.1,91.52,99.57,99.57,1,6
8.04,0.08,91.66,99.57,99.57,1,6
8.04,0.11,91.52,99.57,99.57,1,6
8.04,0.09,91.66,99.57,99.57,1,6
8.05,0.1,91.81,99.57,99.57,1,6
8.05,0.11,91.66,99.57,99.57,1,6
8.05,0.09,91.81,99.57,99.57,1,6
8.05,0.16,91.66,99.57,99.57,1,6
8.05,0.11,91.81,99.57,99.57,1,6
8.04,0.1,91.66,99.57,99.57,1,6
8.05,0.08,91.81,99.57,99.57,1,6
8.05,0.1,91.52,99.57,99.57,1,6
8.05,0.1,91.52,99.57,99.57,1,6
8.02,0.1,91.37,99.57,99.57,1,6
