Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%),InReq,wcount
7.97,0.1,91.37,99.57,99.57,1,6
8,0.09,91.52,99.57,99.57,1,6
7.92,0.14,91.81,99.57,99.57,1,6
7.98,0.12,91.52,99.57,99.57,1,6
7.72,1.56,91.66,99.57,99.43,1,6
7.97,0.15,91.81,99.43,99.43,1,6
7.98,0.12,91.66,99.43,99.43,1,6
7.59,0.1,91.81,99.43,99.43,1,6
7.96,0.12,91.66,99.43,99.43,1,6
7.96,0.09,91.66,99.43,99.43,1,6
7.68,1.54,91.37,99.43,99.29,1,6
7.68,1.55,91.52,99.29,99.29,1,6
7.72,1.07,91.37,99.29,99.15,1,6
7.92,0.12,91.37,99.15,99.15,1,6
7.67,1.54,91.23,99.15,99.15,1,6
7.7,1.37,91.37,99.15,99,1,6
7.92,0.09,91.37,99,99,1,6
7.64,1.81,91.23,99,98.86,1,6
7.91,0.1,91.37,98.86,98.86,1,6
7.89,0.1,91.37,98.86,98.86,1,6
7.37,1.55,91.37,98.86,98.72,1,6
7.72,1.5,91.37,98.72,98.72,1,6
7.65,1.63,91.08,98.72,98.72,1,6
7.66,1.57,91.23,98.72,98.58,1,6
7.62,1.53,91.08,98.58,98.58,1,6
7.89,0.11,90.94,98.58,98.15,1,6
7.63,1.52,91.37,98.15,98.15,1,6
7.88,0.13,91.37,98.15,98.01,1,6
7.62,1.52,91.37,98.01,98.01,1,6
7.87,2.44,91.52,98.01,98.01,1,6
7.62,1.54,91.23,98.01,97.87,1,6
7.55,0.11,91.08,97.87,97.87,1,6
7.61,1.54,91.08,97.87,97.87,1,6
7.85,0.13,90.79,97.87,97.72,1,6
7.39,1.54,90.94,97.72,97.72,1,6
7.65,1.53,91.08,97.72,97.58,1,6
7.62,1.55,90.94,97.58,97.58,1,6
7.63,1.51,90.79,97.58,97.58,1,6
7.63,2.4,91.08,97.58,97.44,1,6
7.71,0.1,91.08,97.44,97.44,1,6
7.63,1.49,90.94,97.44,97.44,1,6
7.84,0.13,91.08,97.44,97.3,1,6
7.86,2.82,90.94,97.3,97.3,1,6
7.84,0.65,91.08,97.3,97.3,1,6
7.56,1.53,90.94,97.3,97.15,1,6
7.58,1.48,90.94,97.15,97.15,1,6
7.59,1.69,91.08,97.15,97.15,1,6
7.62,1.52,90.94,97.15,97.01,1,6
7.23,1.53,91.08,97.01,97.01,1,6
7.6,1.5,91.23,97.01,96.59,1,6
7.58,1.55,91.23,96.59,96.59,1,6
7.8,0.11,91.23,96.59,96.59,1,6
7.57,6.02,90.94,96.59,96.44,1,6
7.79,0.1,90.94,96.44,96.44,1,6
7.57,1.51,90.94,96.44,96.02,1,6
7.77,3.06,90.65,96.02,96.02,1,6
7.56,1.53,90.65,96.02,95.87,1,6
7.64,1.22,90.65,95.87,95.87,1,6
7.54,1.48,91.08,95.87,95.31,1,6
7.79,0.14,90.94,95.31,95.31,1,6
7.54,1.5,90.94,95.31,95.31,1,6
7.79,1.73,90.65,95.31,95.16,1,6
7.54,2.31,90.65,95.16,95.16,1,6
7.77,0.1,90.94,95.16,95.02,1,6
7.52,1.49,91.08,95.02,95.02,1,6
7.77,0.12,90.65,95.02,94.88,1,6
7.07,1.5,90.79,94.88,94.88,1,6
7.4,0.18,91.08,94.88,94.74,1,6
7.24,0.56,90.94,94.74,94.74,1,6
7.5,0.11,90.79,94.74,94.59,1,6
7.72,0.2,90.79,94.59,94.59,1,6
7.76,4.03,90.94,94.59,94.59,1,6
7.54,1.25,90.94,94.59,94.45,1,6
7.75,0.14,90.79,94.45,94.45,1,6
7.76,0.12,90.79,94.45,94.31,1,6
7.77,0.22,90.79,94.31,94.31,1,6
7.39,0.13,90.65,94.31,94.03,1,6
7.74,0.12,90.65,94.03,94.03,1,6
7.5,1.52,91.08,94.03,93.88,1,6
7.75,0.2,90.79,93.88,93.74,1,6
7.16,1.52,90.65,93.74,93.74,1,6
7.16,0.09,90.65,93.74,93.6,1,6
6.99,0.18,90.79,93.6,93.6,1,6
7.73,3,90.65,93.6,93.6,1,6
7.49,1.5,90.5,93.6,93.46,1,6
7.72,0.13,90.65,93.46,93.46,1,6
7.75,0.49,90.65,93.46,93.31,1,6
7.75,3.59,90.5,93.31,93.31,1,6
7.73,0.09,90.79,93.31,93.17,1,6
7.73,0.12,90.5,93.17,93.17,1,6
7.03,4.58,90.5,93.17,93.03,1,6
7.48,1.46,90.65,93.03,92.89,1,6
7.49,1.48,90.65,92.89,92.89,1,6
7.72,0.09,90.5,92.89,92.75,1,6
7.48,4.47,90.5,92.75,92.75,1,6
7.71,0.1,90.65,92.75,92.6,1,6
7.71,3.87,90.65,92.6,92.46,1,7
7.56,1.08,90.5,92.46,92.32,1,7
7.71,0.1,90.65,92.32,92.32,1,7
7.48,3.43,90.5,92.32,92.18,1,7
7.48,1.5,90.65,92.18,92.18,1,7
7.72,4.63,90.65,92.18,92.03,1,7
7.46,1.51,90.65,92.03,92.03,1,7
7.69,0.12,90.5,92.03,91.75,1,7
7.46,1.48,90.5,91.75,91.75,1,7
7.52,2.09,90.35,91.75,91.61,1,7
7.7,2.69,90.35,91.61,91.61,1,7
7.45,1.53,90.5,91.61,91.04,1,7
7.51,1.4,90.35,91.04,91.04,1,7
7.45,1.48,90.5,91.04,91.04,1,7
7.68,0.1,90.5,91.04,90.9,1,7
6.9,1.5,90.5,90.9,90.9,1,7
7.44,1.48,90.35,90.9,90.75,1,7
7.25,1.51,90.5,90.75,90.75,1,7
7.41,0.1,90.65,90.75,90.61,1,7
7.68,0.11,90.5,90.61,90.61,1,7
7.44,1.47,90.65,90.61,90.47,1,7
7.68,0.11,90.21,90.47,90.33,1,7
7.67,1.88,90.65,90.33,90.18,1,7
7.55,0.99,90.65,90.18,90.18,1,7
7.44,4.32,90.5,90.18,90.04,1,7
7.65,0.18,90.5,90.04,90.04,1,7
7.67,0.12,90.5,90.04,89.9,1,7
7.17,1.72,90.35,89.9,89.76,1,7
7.43,1.48,90.5,89.76,89.62,1,7
7.4,1.46,90.35,89.62,89.62,1,7
7.67,0.11,90.79,89.62,89.62,1,7
7.67,0.11,90.5,89.62,89.19,1,7
7.49,1.19,90.5,89.19,89.19,1,7
7.66,0.23,90.5,89.19,88.9,1,7
7.52,1.04,90.35,88.9,88.9,1,7
7.43,1.48,90.21,88.9,88.76,1,7
7.67,1.86,90.5,88.76,88.76,1,7
7.48,1.23,90.21,88.76,88.62,1,7
7.43,1.47,90.65,88.62,88.62,1,7
7.62,0.16,90.21,88.62,88.34,1,7
7.54,2.66,90.79,88.34,88.34,1,7
7.65,0.12,90.21,88.34,88.34,1,7
7.42,1.46,90.65,88.34,88.19,1,7
7.53,1.05,90.5,88.19,88.19,1,7
7.41,1.47,90.65,88.19,88.05,1,7
7.66,3.53,90.5,88.05,88.05,1,7
7.45,1.46,90.65,88.05,87.77,1,7
6.83,1.47,90.65,87.77,87.77,1,7
7.65,4.04,90.35,87.77,87.62,1,7
7.63,0.1,90.65,87.62,87.62,1,7
7.23,0.12,90.35,87.62,87.62,1,7
7.21,1.32,90.35,87.62,87.48,1,7
7.65,0.1,90.06,87.48,87.48,1,7
7.65,5.71,90.21,87.48,87.34,1,7
7.48,1.73,90.21,87.34,87.34,1,7
7.42,1.44,90.21,87.34,87.34,1,7
7.63,3.87,90.21,87.34,87.2,1,7
7.64,0.1,90.21,87.2,87.2,1,7
7.64,0.14,90.06,87.2,87.06,1,7
7.42,1.5,90.21,87.06,87.06,1,7
6.86,1.47,90.21,87.06,87.06,1,7
7.4,1.5,90.35,87.06,86.91,1,7
7.62,0.15,90.35,86.91,86.91,1,7
7.64,0.11,90.79,86.91,86.77,1,7
7.44,1.5,90.35,86.77,86.77,1,7
7.48,1.06,90.35,86.77,86.63,1,7
7.48,1.52,90.5,86.63,86.63,1,7
7.64,4.11,90.5,86.63,86.63,1,7
7.34,1.06,90.35,86.63,86.49,1,7
6.89,1.57,90.35,86.49,86.34,1,7
6.86,1.48,90.06,86.34,86.2,1,7
7.43,1.46,90.5,86.2,86.2,1,7
7.13,1.19,90.06,86.2,86.2,1,7
7.65,2.68,90.35,86.2,86.06,1,7
7.53,0.09,90.21,86.06,86.06,1,7
7.43,1.4,90.21,86.06,85.92,1,7
7.41,1.44,90.21,85.92,85.92,1,7
7.47,1.06,90.35,85.92,85.92,1,7
7.29,0.12,90.35,85.92,85.78,1,7
7.51,0.1,90.35,85.78,85.78,1,7
7.64,0.1,90.35,85.78,85.63,1,7
7.63,0.12,90.35,85.63,85.63,1,7
7.43,1.46,90.35,85.63,85.63,1,7
7.63,0.32,90.35,85.63,83.21,1,7
7.63,1.37,90.35,83.21,83.21,1,7
7.43,1.46,89.92,83.21,82.79,1,7
7.38,1.44,90.21,82.79,82.79,1,7
7.44,0.35,89.92,82.79,82.65,1,7
7.13,0.1,90.06,82.65,82.65,1,7
7.63,0.09,90.06,82.65,82.65,1,7
7.63,0.1,90.06,82.65,82.5,1,7
7.4,1.46,90.06,82.5,82.5,1,7
7.4,1.38,90.35,82.5,82.36,1,7
7.44,1.11,90.21,82.36,82.36,1,7
7.61,0.12,90.5,82.36,82.36,1,7
7.49,0.99,89.92,82.36,82.22,1,7
7.39,1.48,90.06,82.22,82.22,1,7
7.62,0.13,90.21,82.22,82.22,1,7
7.38,1.48,89.92,82.22,80.65,1,7
7.6,0.11,90.35,80.65,80.65,1,7
7.63,0.11,90.06,80.65,80.51,1,7
7.4,2.66,90.21,80.51,80.51,1,7
7.52,1.38,90.06,80.51,80.51,1,7
7.6,0.12,90.35,80.51,80.37,1,7
7.43,1.11,90.21,80.37,80.37,1,7
7.63,0.1,90.21,80.37,80.23,1,7
7.26,1.08,90.21,80.23,80.23,1,7
7.38,1.44,90.06,80.23,80.23,1,7
7.11,0.09,90.35,80.23,80.08,1,7
7.62,0.12,90.21,80.08,80.08,1,7
7.43,1.46,90.21,80.08,79.66,1,8
7.23,1.25,90.06,79.66,79.66,1,8
7.04,1.43,90.21,79.66,79.66,1,8
7.38,1.48,90.06,79.66,79.52,1,8
7.59,0.11,90.06,79.52,79.52,1,8
7.62,3.82,90.21,79.52,79.52,1,8
7.38,4.62,90.21,79.52,79.37,1,8
7.59,0.11,90.21,79.37,79.37,1,8
7.3,0.1,89.92,79.37,79.23,1,8
7.62,0.12,90.35,79.23,79.23,1,8
7.41,1.32,90.06,79.23,79.23,1,8
7.38,1.36,90.21,79.23,79.09,1,8
7.54,0.1,90.21,79.09,79.09,1,8
7.61,0.1,89.92,79.09,79.09,1,8
7.41,4.9,90.21,79.09,78.95,1,8
7.43,3.28,90.21,78.95,78.95,1,8
7.38,1.45,90.35,78.95,78.8,1,8
7.59,0.1,90.06,78.8,78.8,1,8
7.6,0.21,90.06,78.8,78.8,1,8
6.68,1.46,89.92,78.8,78.66,1,8
7.37,3.37,90.35,78.66,78.66,1,8
7.35,1.46,89.92,78.66,78.66,1,8
7.42,0.25,90.06,78.66,78.52,1,8
7.44,1.16,89.92,78.52,78.52,1,8
7.44,1.05,90.06,78.52,78.38,1,8
7.36,1.44,89.92,78.38,78.38,1,8
7.6,4.6,89.92,78.38,78.38,1,8
7.4,1.37,89.92,78.38,77.67,1,8
7.59,0.09,90.06,77.67,77.67,1,8
7.58,0.12,90.21,77.67,77.52,1,8
7.34,1.5,90.21,77.52,77.52,1,8
7.37,1.46,90.06,77.52,77.52,1,8
7.36,1.45,90.06,77.52,77.38,1,8
7.37,5.51,90.21,77.38,77.38,1,8
7.42,3.52,90.06,77.38,77.24,1,8
7.4,1.27,90.21,77.24,77.24,1,8
7.37,1.46,90.21,77.24,77.24,1,8
7.44,1.32,90.21,77.24,77.1,1,8
7.59,0.1,89.92,77.1,77.1,1,8
7.36,2.64,90.21,77.1,76.96,1,8
7.53,0.38,90.06,76.96,76.96,1,8
7.36,4.45,90.06,76.96,76.96,1,8
7.18,1.45,90.21,76.96,76.81,1,8
7.33,1.43,90.35,76.81,76.81,1,8
7.56,0.12,90.21,76.81,76.67,1,8
7.38,1.46,90.35,76.67,76.67,1,8
7.22,1.46,90.06,76.67,76.67,1,8
7,0.12,90.35,76.67,76.53,1,8
7.53,2.55,90.35,76.53,76.53,1,8
7.61,0.12,90.35,76.53,76.39,1,8
7.36,1.44,90.21,76.39,76.39,1,8
7.15,1.46,90.35,76.39,76.39,1,8
7.35,1.44,90.5,76.39,76.24,1,8
7.58,0.1,90.21,76.24,76.24,1,8
7.28,0.12,90.35,76.24,76.24,1,8
7.59,0.12,90.21,76.24,76.1,1,8
7.6,0.7,90.21,76.1,76.1,1,8
7.6,0.12,90.35,76.1,75.96,1,8
7.45,0.94,90.06,75.96,75.96,1,8
7.39,0.94,90.35,75.96,75.82,1,8
7.57,0.1,90.35,75.82,75.82,1,8
7.55,0.13,90.21,75.82,75.82,1,8
7.57,3.03,90.35,75.82,75.68,1,8
7.39,5.06,90.35,75.68,75.68,1,8
7.58,0.1,90.35,75.68,75.68,1,8
7.4,6.2,90.35,75.68,75.53,1,8
7.58,0.1,90.21,75.53,75.53,1,8
7.58,3.22,90.35,75.53,75.39,1,8
7.43,3.8,90.5,75.39,75.39,1,8
7.57,0.15,90.35,75.39,75.39,1,8
7.59,2.33,90.35,75.39,75.25,1,8
7.41,1.17,90.35,75.25,75.25,1,8
7.4,0.12,90.35,75.25,75.25,1,8
7.21,1.46,90.06,75.25,75.11,1,8
7.35,1.44,90.5,75.11,75.11,1,8
7.38,0.24,90.21,75.11,75.11,1,8
7.35,1.46,90.35,75.11,74.96,1,8
7.35,1.05,90.21,74.96,74.96,1,8
7.58,0.11,90.21,74.96,74.82,1,8
7.57,0.12,90.06,74.82,74.82,1,8
7.59,0.14,90.06,74.82,74.82,1,8
7.58,0.1,90.06,74.82,74.68,1,8
7.27,1.44,90.35,74.68,74.68,1,8
7.56,0.12,90.35,74.68,74.68,1,8
7.42,3.64,89.77,74.68,74.54,1,8
6.99,1.35,90.06,74.54,74.54,1,8
7.34,1.44,90.21,74.54,74.39,1,8
7.34,1.42,90.21,74.39,74.39,1,8
6.93,0.1,90.35,74.39,74.39,1,8
7.33,1.41,90.21,74.39,74.25,1,8
7.59,3.56,90.06,74.25,74.25,1,8
7.57,0.09,90.21,74.25,74.25,1,8
7.58,0.11,89.92,74.25,74.11,1,8
7.41,1.11,90.06,74.11,74.11,1,8
7.36,5.96,90.21,74.11,74.11,1,8
7.57,0.12,90.35,74.11,73.97,1,8
7.57,0.1,90.06,73.97,73.97,1,8
7.49,0.13,90.5,73.97,73.83,1,8
7.12,0.12,89.92,73.83,73.83,1,8
7.35,4.27,90.21,73.83,73.83,1,8
7.34,1.42,90.35,73.83,73.68,1,8
7.37,1.35,90.35,73.68,73.68,1,8
7.41,1.09,90.35,73.68,73.68,1,8
7.34,1.44,90.21,73.68,73.54,1,8
7.45,1.37,90.21,73.54,73.54,1,8
7.54,0.15,90.35,73.54,73.4,1,8
7.54,0.18,90.21,73.4,73.26,1,8
7.51,1.33,90.21,73.26,73.26,1,8
7.33,5.33,90.21,73.26,73.11,1,8
7.28,1.47,90.21,73.11,73.11,1,8
7.57,0.23,90.35,73.11,73.11,1,8
7.56,0.14,90.06,73.11,72.83,1,8
7.32,0.09,90.21,72.83,72.83,1,8
7.43,1.03,90.06,72.83,72.83,1,8
7.57,1.97,90.06,72.83,72.4,1,8
7.43,1.05,90.06,72.4,72.4,1,8
7.33,1.44,90.35,72.4,72.26,1,8
7.34,1.35,89.92,72.26,72.26,1,8
7.33,5.31,90.21,72.26,72.26,1,8
7.38,0.12,90.21,72.26,72.12,1,8
7.34,1.43,90.06,72.12,72.12,1,8
7.36,1.39,89.92,72.12,72.12,1,8
7.17,0.63,90.06,72.12,71.98,1,8
7.33,1.41,89.92,71.98,71.98,1,8
7.33,0.1,89.92,71.98,71.98,1,8
7.54,0.1,90.21,71.98,71.83,1,8
7.53,4.11,90.21,71.83,71.83,1,8
7.57,0.09,89.77,71.83,71.83,1,8
7.36,5.91,89.92,71.83,71.69,1,8
7.55,0.1,90.06,71.69,71.69,1,8
7.47,1.34,89.92,71.69,70.7,1,8
7.37,4.38,90.06,70.7,70.7,1,8
7.57,3.14,90.06,70.7,70.7,1,8
7.57,3.79,89.92,70.7,70.55,1,8
7.56,0.1,89.92,70.55,70.55,1,8
7.55,0.1,90.06,70.55,70.41,1,8
7.34,5.81,89.92,70.41,70.41,1,8
6.75,1.44,89.77,70.41,70.41,1,8
7.32,1.44,90.06,70.41,70.27,1,8
7.33,1.37,89.77,70.27,70.27,1,8
7.35,2.33,90.06,70.27,70.27,1,8
7.55,0.1,90.06,70.27,70.13,1,8
7.31,1.43,90.06,70.13,70.13,1,8
7.55,0.09,90.35,70.13,70.13,1,8
7.55,2.56,89.92,70.13,69.99,1,8
7.34,1.44,90.21,69.99,69.99,1,8
7.33,4.58,90.06,69.99,69.99,1,8
7.25,0.14,89.77,69.99,69.84,1,8
7.55,0.08,89.92,69.84,69.84,1,8
7.43,0.97,90.06,69.84,69.84,1,8
7.4,0.94,90.21,69.84,69.7,1,8
7.42,1.03,90.21,69.7,69.7,1,8
7.33,1.43,90.06,69.7,69.56,1,8
7.56,0.16,89.92,69.56,69.56,1,8
7.57,0.12,89.77,69.56,69.56,1,8
7.33,1.43,90.21,69.56,69.42,1,8
7.39,1.17,89.92,69.42,69.42,1,8
7.32,1.41,90.21,69.42,69.27,1,8
7.35,1.37,90.21,69.27,69.27,1,8
7.4,0.98,89.77,69.27,69.27,1,8
7.33,1.44,89.77,69.27,69.13,1,8
7.34,1.43,89.92,69.13,69.13,1,8
7.57,1.54,90.06,69.13,69.13,1,8
6.82,1.44,90.21,69.13,68.99,1,8
7.34,1.36,90.35,68.99,68.99,1,8
7.31,1.43,89.92,68.99,68.99,1,8
7.56,0.13,89.92,68.99,68.56,1,8
7.54,0.13,89.92,68.56,68.56,1,8
7.37,0.12,90.21,68.56,68.56,1,8
7.53,0.11,90.06,68.56,68.42,1,8
7.44,0.1,90.06,68.42,68.42,1,8
7.56,0.1,89.92,68.42,65.43,1,8
7.39,0.97,90.5,65.43,65.43,1,8
7.33,1.4,89.92,65.43,65.43,1,8
7.21,0.1,90.06,65.43,65.29,1,8
7.32,1.43,89.92,65.29,65.29,1,8
7.56,0.1,90.35,65.29,65.29,1,8
7.33,1.43,90.21,65.29,62.87,1,8
7.56,0.11,90.21,62.87,62.87,1,8
7.55,0.12,90.21,62.87,62.87,1,8
7.37,1.3,90.06,62.87,62.73,1,8
7.56,4.26,90.21,62.73,62.73,1,8
7.33,6.16,90.21,62.73,62.73,1,8
7.21,1.42,90.21,62.73,62.02,1,8
7.56,4.53,90.21,62.02,62.02,1,8
7.38,1.04,90.21,62.02,62.02,1,8
7.32,1.45,90.21,62.02,61.88,1,8
7.56,0.28,90.06,61.88,61.88,1,8
7.27,0.16,90.21,61.88,61.73,1,8
6.96,1.42,90.06,61.73,61.73,1,8
7.23,1.41,90.35,61.73,61.73,1,8
7.43,0.98,90.35,61.73,61.59,1,8
7.41,1.12,90.35,61.59,61.59,1,8
7.56,0.1,90.21,61.59,61.59,1,8
7.55,0.11,90.21,61.59,61.45,1,8
7.57,0.1,90.06,61.45,61.45,1,8
7.56,0.1,90.35,61.45,61.45,1,8
7.56,0.1,90.21,61.45,61.31,1,8
7.38,1.15,90.06,61.31,61.31,1,8
7.53,1.34,90.06,61.31,61.31,1,8
7.54,0.08,90.06,61.31,61.17,1,8
7.33,1.56,90.35,61.17,61.17,1,8
7.55,0.1,90.21,61.17,61.17,1,8
7.57,3.77,90.21,61.17,61.02,1,8
7.55,0.12,90.35,61.02,61.02,1,8
7.56,6.1,90.35,61.02,60.88,1,8
7.54,0.12,90.35,60.88,60.88,1,8
7.56,0.1,90.21,60.88,60.88,1,8
7.32,1.46,90.35,60.88,60.74,1,8
6.97,0.07,90.21,60.74,60.74,1,8
7.52,0.1,90.21,60.74,60.74,1,8
7.55,0.12,90.35,60.74,60.6,1,8
7.38,1.34,90.35,60.6,60.6,1,8
7.29,3.09,90.21,60.6,60.45,1,8
7.42,1.1,90.06,60.45,60.45,1,8
7.55,0.12,90.21,60.45,60.45,1,8
7.34,5.89,90.06,60.45,60.31,1,8
7.43,0.91,90.35,60.31,60.31,1,8
7.55,0.1,90.5,60.31,60.17,1,8
7.57,3.69,90.5,60.17,60.17,1,8
7.09,0.48,90.65,60.17,60.17,1,8
7.32,5.13,90.35,60.17,60.03,1,8
7.5,0.12,90.5,60.03,60.03,1,8
7.3,1.43,90.21,60.03,60.03,1,8
7.56,0.1,90.65,60.03,59.89,1,8
6.92,1.5,90.35,59.89,59.89,1,8
7.56,0.1,90.5,59.89,59.89,1,8
7.5,0.36,90.21,59.89,59.74,1,8
7.33,1.44,90.5,59.74,59.74,1,8
7.36,2.14,90.65,59.74,59.6,1,8
7.55,0.08,90.5,59.6,59.6,1,8
7.57,0.22,90.21,59.6,59.6,1,8
7.32,1.43,90.35,59.6,59.46,1,8
7.56,0.29,90.35,59.46,59.46,1,8
7.02,0.12,90.5,59.46,59.32,1,8
7.33,1.52,90.21,59.32,59.32,1,8
7.53,0.1,90.5,59.32,59.32,1,8
7.33,4.34,90.35,59.32,59.17,1,8
7.54,0.1,90.35,59.17,59.17,1,8
7.33,2.19,90.5,59.17,59.17,1,8
7.33,1.77,90.35,59.17,59.03,1,8
7.33,1.44,90.5,59.03,59.03,1,8
7.33,1.23,90.5,59.03,59.03,1,8
7.38,1.21,90.21,59.03,58.04,1,8
7.08,0.1,90.35,58.04,58.04,1,8
7.56,0.09,90.35,58.04,58.04,1,8
7.56,0.21,90.35,58.04,57.89,1,8
7.53,0.16,90.65,57.89,57.89,1,8
7.36,1.4,90.35,57.89,57.89,1,8
7.55,0.1,90.35,57.89,57.75,1,8
6.97,0.1,90.5,57.75,57.75,1,8
7.56,0.1,90.35,57.75,57.75,1,8
7.26,1.43,90.5,57.75,57.32,1,8
7.33,1.43,90.65,57.32,57.32,1,8
7.33,1.42,90.5,57.32,57.18,1,8
7.35,1.17,90.5,57.18,57.18,1,8
7.32,1.43,90.21,57.18,57.18,1,8
6.8,1.46,90.21,57.18,57.04,1,8
7.03,0.1,90.21,57.04,57.04,1,8
7.35,1.44,90.35,57.04,56.9,1,8
7.55,0.89,90.21,56.9,56.9,1,8
7.56,3.6,90.21,56.9,56.9,1,8
7.55,0.14,90.06,56.9,56.76,1,8
7.31,1.43,90.21,56.76,56.76,1,8
7.55,0.34,90.06,56.76,56.76,1,8
7.54,0.12,90.06,56.76,56.61,1,8
7.32,1.83,90.06,56.61,56.61,1,8
7.42,0.12,90.06,56.61,55.9,1,8
7.35,1.18,89.92,55.9,55.9,1,8
7.32,1.42,89.92,55.9,55.9,1,8
7.35,1.43,90.06,55.9,55.76,1,8
7.52,0.38,90.06,55.76,55.76,1,8
7.56,0.1,89.92,55.76,55.76,1,8
7.54,0.1,89.92,55.76,55.62,1,8
7.46,1.34,89.77,55.62,55.62,1,8
7.34,1.42,90.06,55.62,55.48,1,8
7.56,0.32,90.06,55.48,55.48,1,8
7.41,1.38,90.06,55.48,55.48,1,8
7.32,1.39,89.92,55.48,55.05,1,8
7.53,0.11,90.21,55.05,55.05,1,8
7.48,0.12,89.92,55.05,55.05,1,8
7.13,1.46,90.06,55.05,54.76,1,8
7.4,0.11,89.92,54.76,54.76,1,8
7.34,1.41,89.92,54.76,54.62,1,8
7.54,0.08,89.77,54.62,54.62,1,8
7.42,0.94,90.06,54.62,54.62,1,8
7.33,1.32,89.92,54.62,54.48,1,8
7.55,0.11,90.06,54.48,54.48,1,8
7.56,0.22,89.77,54.48,54.48,1,8
7.48,0.09,89.92,54.48,54.34,1,8
7.32,1.43,89.92,54.34,54.34,1,8
7.54,0.16,90.06,54.34,54.34,1,8
7.54,0.1,89.77,54.34,54.2,1,8
7.57,0.73,89.77,54.2,54.2,1,8
7.29,0.1,89.77,54.2,54.05,1,8
7.35,1.42,89.77,54.05,54.05,1,8
6.8,0.16,89.92,54.05,53.91,1,8
7.35,1.45,90.06,53.91,53.91,1,8
7.53,0.52,89.63,53.91,53.91,1,8
7.31,0.16,90.06,53.91,53.77,1,8
7.43,0.97,90.06,53.77,53.77,1,8
7.54,0.16,89.77,53.77,53.77,1,8
7.33,1.44,89.92,53.77,53.63,1,8
7.43,1.04,89.92,53.63,53.63,1,8
7.33,1.43,89.92,53.63,53.48,1,8
7.55,0.1,89.92,53.48,53.48,1,8
7.55,0.1,90.06,53.48,53.48,1,8
7.53,0.08,90.21,53.48,53.34,1,8
7.34,2.68,89.77,53.34,53.34,1,8
7.53,1.21,90.21,53.34,53.34,1,8
6.88,1.44,89.92,53.34,53.2,1,8
7.4,0.92,90.06,53.2,53.2,1,8
7.55,0.12,90.06,53.2,52.77,1,8
7.36,1.42,90.21,52.77,52.77,1,8
7.35,1.32,90.35,52.77,52.77,1,8
7.55,0.12,89.92,52.77,52.63,1,8
7.45,0.3,90.35,52.63,52.63,1,8
7.55,0.08,90.06,52.63,52.63,1,8
7.22,1.39,90.06,52.63,52.49,1,8
7.33,5.39,90.06,52.49,52.49,1,8
7.55,0.28,89.77,52.49,52.35,1,8
7.55,0.12,90.06,52.35,52.35,1,8
6.96,0.11,90.35,52.35,52.35,1,8
7.32,1.42,89.92,52.35,52.2,1,8
7.56,0.08,90.35,52.2,52.2,1,8
6.7,1.43,90.21,52.2,51.78,1,8
6.82,1.41,90.21,51.78,51.78,1,8
7.49,6.38,90.21,51.78,51.78,1,8
7.56,0.12,90.35,51.78,51.63,1,8
7.56,1.52,90.35,51.63,51.63,1,8
6.85,1.28,90.35,51.63,51.63,1,8
7.56,6.12,90.21,51.63,51.49,1,8
7.5,3.08,90.21,51.49,51.49,1,8
