Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
7.75,1.5,90.5,90.75,90.75
7.95,0.1,90.65,90.75,90.61
7.74,1.48,90.65,90.61,90.61
7.74,1.44,90.79,90.61,90.61
7.92,0.15,90.65,90.61,90.47
7.95,0.1,90.79,90.47,90.47
7.95,0.09,90.94,90.47,90.33
7.94,0.12,91.08,90.33,90.33
7.95,0.12,90.79,90.33,90.33
7.94,0.1,90.5,90.33,90.18
7.74,1.5,91.37,90.18,90.18
7.77,1.29,90.94,90.18,90.18
7.71,1.79,90.79,90.18,90.04
7.3,0.16,90.79,90.04,90.04
7.26,0.21,90.94,90.04,89.9
7.7,0.32,91.23,89.9,89.9
7.92,0.12,90.94,89.9,89.76
7.73,1.41,90.94,89.76,89.76
7.76,1.26,91.23,89.76,89.62
7.91,0.12,91.23,89.62,89.62
7.7,1.46,91.37,89.62,89.62
7.88,0.12,91.08,89.62,89.47
7.73,1.38,91.23,89.47,89.47
7.79,0.99,91.52,89.47,89.33
7.7,1.46,91.23,89.33,89.33
7.91,0.12,91.66,89.33,89.19
7.73,1.3,91.52,89.19,89.19
7.7,1.47,91.52,89.19,89.05
7.9,0.3,91.52,89.05,89.05
7.75,1.21,91.66,89.05,88.76
7.71,1.38,91.66,88.76,88.76
7.74,1.33,91.66,88.76,88.62
7.91,1.79,91.95,88.62,88.62
7.9,0.1,91.66,88.62,88.62
7.91,0.09,91.66,88.62,88.48
7.87,0.3,91.66,88.48,88.48
7.88,0.12,91.66,88.48,87.2
7.69,2.3,91.52,87.2,87.2
7.71,1.31,91.81,87.2,87.06
7.7,3.6,91.52,87.06,87.06
7.9,0.1,91.66,87.06,87.06
7.67,4.4,91.66,87.06,86.91
7.88,0.1,91.66,86.91,86.91
7.89,0.1,91.81,86.91,86.2
7.67,1.45,91.52,86.2,86.2
7.89,0.12,91.95,86.2,86.06
7.9,0.1,91.95,86.06,86.06
7.67,1.46,91.95,86.06,86.06
7.87,0.11,92.1,86.06,85.92
7.89,0.12,91.81,85.92,85.92
7.67,1.47,92.1,85.92,85.49
7.68,3.62,92.1,85.49,85.49
7.69,1.28,92.1,85.49,85.35
7.76,0.96,92.1,85.35,85.35
7.66,3.31,92.1,85.35,85.35
7.88,0.14,92.24,85.35,85.21
7.89,0.12,92.1,85.21,85.21
7.65,1.47,92.39,85.21,85.06
7.87,0.82,92.53,85.06,85.06
7.88,0.09,92.39,85.06,84.92
7.65,1.46,92.1,84.92,84.78
7.65,1.46,92.24,84.78,84.78
7.87,0.1,91.95,84.78,84.64
7.87,0.1,92.1,84.64,84.64
7.88,2.78,92.1,84.64,84.49
7.66,1.48,92.24,84.49,84.49
7.74,0.9,91.81,84.49,84.49
7.85,3.92,92.24,84.49,84.35
